,date,date_id,wind,desc,temp,baro,hum
206,"Saturday 20 July 2024, 12.00 — 18.00",1721476800000.0,19,Broken clouds.,34.0,1002,65
207,"Saturday 20 July 2024, 18.00 — 00.00",1721498400000.0,14,Passing clouds.,33.0,1003,67
208,"Sunday 21 July 2024, 00.00 — 06.00",1721520000000.0,14,Passing clouds.,31.0,1003,72
209,"Sunday 21 July 2024, 06.00 — 12.00",1721541600000.0,17,Scattered clouds.,32.0,1004,69
210,"Sunday 21 July 2024, 12.00 — 18.00",1721563200000.0,20,Broken clouds.,35.0,1002,62
211,"Sunday 21 July 2024, 18.00 — 00.00",1721584800000.0,19,Partly cloudy.,34.0,1004,65
212,"Monday 22 July 2024, 00.00 — 06.00",1721606400000.0,15,Partly cloudy.,31.0,1004,69
213,"Monday 22 July 2024, 06.00 — 12.00",1721628000000.0,17,Broken clouds.,33.0,1006,67
214,"Monday 22 July 2024, 12.00 — 18.00",1721649600000.0,14,Broken clouds.,34.0,1004,63
215,"Monday 22 July 2024, 18.00 — 00.00",1721671200000.0,15,Partly cloudy.,33.0,1006,66
216,"Tuesday 23 July 2024, 00.00 — 06.00",1721692800000.0,15,Passing clouds.,30.0,1006,70
217,"Tuesday 23 July 2024, 06.00 — 12.00",1721714400000.0,18,Broken clouds.,34.0,1007,66
218,"Tuesday 23 July 2024, 12.00 — 18.00",1721736000000.0,21,Broken clouds.,36.0,1004,59
219,"Tuesday 23 July 2024, 18.00 — 00.00",1721757600000.0,12,Fog.,34.0,1006,80
220,"Wednesday 24 July 2024, 00.00 — 06.00",1721779200000.0,16,Fog.,29.0,1005,81
221,"Wednesday 24 July 2024, 06.00 — 12.00",1721800800000.0,17,Scattered clouds.,34.0,1005,69
222,"Wednesday 24 July 2024, 12.00 — 18.00",1721822400000.0,20,Scattered clouds.,35.0,1002,57
223,"Wednesday 24 July 2024, 18.00 — 00.00",1721844000000.0,16,Partly cloudy.,34.0,1003,65
224,"Thursday 25 July 2024, 00.00 — 06.00",1721865600000.0,15,Partly cloudy.,30.0,1003,72
225,"Thursday 25 July 2024, 06.00 — 12.00",1721887200000.0,18,Broken clouds.,34.0,1004,68
226,"Thursday 25 July 2024, 12.00 — 18.00",1721908800000.0,19,Broken clouds.,36.0,1001,60
227,"Thursday 25 July 2024, 18.00 — 00.00",1721930400000.0,16,Partly cloudy.,34.0,1003,70
228,"Friday 26 July 2024, 00.00 — 06.00",1721952000000.0,16,Partly cloudy.,30.0,1003,75
229,"Friday 26 July 2024, 06.00 — 12.00",1721973600000.0,19,Broken clouds.,34.0,1004,69
230,"Friday 26 July 2024, 12.00 — 18.00",1721995200000.0,21,Broken clouds.,35.0,1001,59
231,"Friday 26 July 2024, 18.00 — 00.00",1722016800000.0,19,Partly cloudy.,34.0,1003,66
232,"Saturday 27 July 2024, 00.00 — 06.00",1722038400000.0,19,Partly cloudy.,31.0,1003,71
233,"Saturday 27 July 2024, 06.00 — 12.00",1722060000000.0,21,Broken clouds.,33.0,1004,67
234,"Saturday 27 July 2024, 12.00 — 18.00",1722081600000.0,20,Broken clouds.,36.0,1001,56
235,"Saturday 27 July 2024, 18.00 — 00.00",1722103200000.0,16,Partly cloudy.,34.0,1003,61
236,"Sunday 28 July 2024, 00.00 — 06.00",1722124800000.0,16,Partly cloudy.,31.0,1002,64
237,"Sunday 28 July 2024, 06.00 — 12.00",1722146400000.0,21,Broken clouds.,34.0,1003,61
238,"Sunday 28 July 2024, 12.00 — 18.00",1722168000000.0,21,Broken clouds.,35.0,1000,54
239,"Sunday 28 July 2024, 18.00 — 00.00",1722189600000.0,17,Partly cloudy.,34.0,1000,57
240,"Monday 29 July 2024, 00.00 — 06.00",1722211200000.0,18,Partly cloudy.,31.0,1001,66
241,"Monday 29 July 2024, 06.00 — 12.00",1722232800000.0,17,Scattered clouds.,35.0,1002,61
242,"Monday 29 July 2024, 12.00 — 18.00",1722254400000.0,20,Broken clouds.,36.0,1000,58
243,"Monday 29 July 2024, 18.00 — 00.00",1722276000000.0,15,Broken clouds.,32.0,1001,75
244,"Sunday 14 July 2024, 18.00 — 00.00",1720980000000.0,9,Drizzle. Fog.,30.0,1003,82
245,"Monday 15 July 2024, 00.00 — 06.00",1721001600000.0,14,Fog.,29.0,1002,80
246,"Monday 15 July 2024, 06.00 — 12.00",1721023200000.0,17,Drizzle. Broken clouds.,29.0,1003,82
247,"Monday 15 July 2024, 12.00 — 18.00",1721044800000.0,13,Drizzle. Broken clouds.,29.0,1001,85
248,"Monday 15 July 2024, 18.00 — 00.00",1721066400000.0,19,Fog.,29.0,1002,84
249,"Tuesday 16 July 2024, 00.00 — 06.00",1721088000000.0,21,Fog.,28.0,1001,84
250,"Tuesday 16 July 2024, 06.00 — 12.00",1721109600000.0,21,Broken clouds.,31.0,1003,79
251,"Tuesday 16 July 2024, 12.00 — 18.00",1721131200000.0,18,Broken clouds.,32.0,1001,70
252,"Tuesday 16 July 2024, 18.00 — 00.00",1721152800000.0,19,Drizzle. Fog.,31.0,1002,76
253,"Wednesday 17 July 2024, 00.00 — 06.00",1721174400000.0,17,Fog.,29.0,1002,83
254,"Wednesday 17 July 2024, 06.00 — 12.00",1721196000000.0,13,Fog.,33.0,1004,79
255,"Wednesday 17 July 2024, 12.00 — 18.00",1721217600000.0,21,Broken clouds.,35.0,1001,66
256,"Wednesday 17 July 2024, 18.00 — 00.00",1721239200000.0,20,Partly cloudy.,33.0,1003,71
257,"Thursday 18 July 2024, 00.00 — 06.00",1721260800000.0,20,Fog.,30.0,1002,78
258,"Thursday 18 July 2024, 06.00 — 12.00",1721282400000.0,18,Fog.,32.0,1004,75
259,"Thursday 18 July 2024, 12.00 — 18.00",1721304000000.0,17,Broken clouds.,32.0,1002,73
260,"Thursday 18 July 2024, 18.00 — 00.00",1721325600000.0,18,Fog.,28.0,1003,84
261,"Friday 19 July 2024, 00.00 — 06.00",1721347200000.0,18,Fog.,28.0,1002,80
